CLU_NM_001831	0	0	0	0	0	0	3	7	0	8	1	2	2	5	3	15	4	4	2	1	9	11	8	2	7	12	4	31	7	8	23	2	1	1	1	2	2	5	1	1	3	6	12	3	1	5	3	1	6	3	0	0	0	0	0	0	0	0	0	10	4	2	1	0	0	13	3	4	3	5	18	4	6	0	1	1	0	1	1	2	9	0	3	2	0	3	3	1	2	3	8	2	3	3	12	12	0	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP_NM_000096	0	0	0	0	0	0	0	0	0	0	1	0	3	0	11	6	2	1	1	2	3	0	2	3	1	1	4	2	3	5	2	1	3	6	5	6	1	3	1	4	5	2	9	2	1	3	2	4	2	0	4	1	4	1	1	3	1	5	0	1	9	1	2	1	1	2	4	3	0	8	4	1	5	4	3	3	0	2	3	2	1	5	3	8	6	1	4	2	4	0	1	2	5	2	3	2	2	2	2	1	1	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRP_NM_000567	0	0	0	3	3	1	0	0	5	17	30	3	1	0	0	1	1	13	1	2	1	0	2	1	0	5	1	2	3	5	2	10	4	2	0	3	1	3	9	36	3	2	5	1	2	1	4	2	2	4	1	0	2	1	3	33	10	0	0	9	1	1	4	0	2	2	0	2	3	2	18	0	0	6	6	4	1	11	4	26	12	8	1	3	1	0	5	3	13	7	5	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2E1_NM_000773	0	0	0	0	0	0	0	0	0	0	2	0	0	1	9	1	2	0	4	4	0	1	0	1	1	4	26	14	5	0	0	6	1	1	1	30	3	5	1	3	12	2	0	3	24	9	10	7	2	0	0	0	7	9	3	14	5	3	11	2	7	5	2	4	6	5	8	2	15	4	9	8	0	0	19	2	2	1	1	5	2	1	0	2	0	3	3	0	9	0	0	8	6	3	1	1	0	3	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGA_NM_000508	0	0	0	0	0	1	2	0	0	0	15	38	97	24	30	35	51	9	20	32	61	7	15	19	63	14	34	103	45	30	80	54	26	23	29	68	45	42	55	23	27	14	36	30	12	11	26	15	6	15	25	26	31	21	24	71	62	27	6	33	67	44	33	16	22	1	10	50	12	14	11	2	2	41	49	115	6	5	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGB_NM_005141	0	0	0	0	0	0	0	0	0	0	21	5	0	5	59	7	41	7	6	20	31	1	5	9	12	32	7	5	11	14	12	10	19	14	20	11	4	23	22	54	21	8	20	5	73	33	3	5	10	8	23	4	1	18	15	32	28	12	21	4	20	71	23	47	52	7	22	27	23	1	31	21	8	11	57	22	20	5	18	18	10	29	7	30	7	11	34	59	17	33	48	3	27	21	34	18	24	2	11	5	9	9	3	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
FGG_NM_021870	0	0	0	0	1	1	2	0	0	0	7	0	2	23	4	13	12	51	4	6	17	7	7	111	6	14	9	8	32	7	36	88	4	20	14	5	10	74	0	7	2	20	13	14	298	43	15	20	23	6	8	22	97	13	16	9	7	6	22	5	25	13	2	9	56	28	3	52	11	15	2	19	7	6	13	12	3	23	31	21	13	8	1	5	21	17	35	12	14	0	21	6	9	43	76	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGL1_NM_201553	0	0	0	0	0	0	0	0	0	0	0	2	0	2	9	4	8	1	3	1	3	2	1	0	3	9	6	11	5	5	4	2	32	8	4	2	1	2	3	1	4	7	22	2	21	30	1	43	2	15	0	11	3	1	4	10	1	2	27	0	3	4	4	3	2	14	1	13	0	0	3	2	3	3	17	14	7	6	10	4	0	0	10	7	2	3	8	1	2	2	0	2	0	22	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FN1_NM_212482	0	0	0	0	0	0	0	1	0	0	4	1	1	2	3	4	2	5	4	13	2	4	1	1	3	4	4	3	12	2	4	3	3	2	4	6	1	0	12	1	4	1	1	2	4	0	4	4	1	4	7	4	3	3	2	1	0	2	0	6	0	0	0	2	2	5	5	4	3	0	6	3	4	0	3	2	1	1	0	0	1	1	6	2	2	4	5	6	2	0	2	3	0	1	1	0	0	0	2	3	6	1	5	1	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
GC_NM_001204307	0	0	0	0	0	0	0	0	0	0	0	0	14	4	1	1	17	7	0	1	14	1	0	11	0	5	1	1	8	1	2	13	0	1	5	2	7	3	1	4	7	5	0	1	4	0	5	3	1	2	2	14	7	3	7	2	9	0	1	2	14	7	0	4	2	5	2	6	5	9	7	7	4	0	1	15	36	0	3	1	3	0	7	17	3	2	0	1	3	9	26	1	4	3	3	1	6	3	1	2	3	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HPR_NM_020995	0	0	0	0	0	0	0	0	1	1	5	0	0	1	0	0	0	0	0	0	0	0	1	1	0	64	20	47	27	18	33	53	14	16	16	8	26	5	14	33	22	4	0	10	21	9	41	52	67	10	1	12	7	9	1	0	0	26	3	0	2	21	0	0	0	0	0	0	0	7	14	1	0	0	0	0	0	11	0	0	0	0	1	8	19	4	4	0	0	0	35	21	6	7	0	1	103	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
HPX_NM_000613	0	0	0	0	0	0	0	0	0	0	36	1	2	0	1	1	6	12	9	2	1	2	4	1	2	1	9	4	2	3	10	4	2	8	3	4	6	1	2	10	3	1	0	2	3	1	1	0	3	3	7	4	9	1	8	7	0	4	4	1	1	0	0	8	3	1	3	6	1	4	3	1	0	1	2	0	2	3	5	5	9	0	2	1	1	5	1	1	0	3	1	4	1	0	4	0	8	2	0	2	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HP_NM_005143	0	0	0	0	0	0	0	0	4	0	296	26	14	20	44	266	70	12	8	27	18	76	25	271	23	53	17	23	55	22	14	24	29	64	8	237	142	102	28	31	15	57	18	21	11	25	18	36	19	15	143	32	7	45	64	61	7	4	26	223	50	7	102	31	19	1064	17	91	14	45	17	17	1	25	21	147	59	51	117	27	33	14	9	44	60	17	15	9	29	104	44	95	43	11	67	38	98	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ITIH4_NM_002218	0	0	0	0	0	0	0	0	1	1	27	0	5	3	1	0	28	2	1	13	1	2	7	2	4	5	3	5	5	8	3	2	1	3	0	7	2	3	2	2	1	3	1	6	7	4	1	2	2	8	4	5	1	7	5	2	0	1	4	6	3	3	2	5	4	2	3	4	2	0	1	12	1	6	0	4	2	2	4	4	0	1	1	4	4	2	7	4	3	12	2	15	0	4	7	7	2	2	0	1	3	5	3	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ORM1_NM_000607	0	0	0	0	0	0	0	0	1	0	10	1	1	0	2	9	5	10	1	4	2	0	4	7	5	5	12	2	6	9	1	32	12	0	0	2	6	5	79	13	59	15	10	33	8	4	44	57	42	5	5	8	38	5	2	18	29	1	21	56	42	41	8	0	15	81	11	21	44	2	4	10	16	7	22	64	104	21	14	18	51	1	46	2	9	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ORM2_NM_000608	0	0	0	0	0	0	0	0	1	1	16	1	0	1	4	18	2	13	0	5	9	1	3	4	5	4	11	2	6	2	3	23	18	0	0	0	4	3	72	18	36	0	0	0	5	2	5	8	5	5	4	6	8	0	0	2	4	0	1	3	2	17	0	1	0	44	15	17	52	5	3	1	1	7	3	3	6	3	23	13	54	3	47	2	5	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PLA2G2A_NM_000300	0	0	4	6	1	1	0	0	1	0	0	0	0	0	4	0	5	14	0	0	1	1	0	0	3	1	10	2	0	0	2	0	8	2	8	2	1	1	3	0	3	0	1	3	4	0	4	2	4	7	28	1	4	10	2	1	3	0	1	1	5	1	2	7	7	11	1	0	4	0	1	7	7	1	0	2	3	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLG_NM_000301	0	0	0	0	0	0	0	0	0	0	4	0	5	0	2	5	3	1	7	1	3	8	0	0	0	1	6	5	2	8	5	8	4	4	0	0	0	1	5	1	1	3	1	2	0	2	1	5	0	10	1	1	1	4	1	4	3	0	1	5	1	5	2	0	8	3	3	2	0	1	0	3	0	2	1	2	1	0	0	2	4	2	1	1	3	2	1	0	1	1	2	0	2	0	4	1	4	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP4_NM_006744	0	0	0	0	0	0	0	0	4	4	18	1	5	1	7	0	1	0	0	1	5	4	7	1	0	1	4	3	3	8	0	9	5	4	9	5	5	4	18	4	1	7	7	5	13	5	4	3	19	1	3	3	0	0	25	11	0	2	6	7	2	2	0	2	7	4	9	0	3	0	1	2	6	2	1	13	3	1	2	2	0	1	15	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAA1_NM_000331	0	1	1	0	0	1	1	4	0	1	19	4	1	5	0	2	1	4	4	71	1	9	5	11	0	8	6	11	17	19	6	0	3	9	7	2	12	22	13	10	18	12	4	9	23	1	4	4	1	5	12	47	10	10	20	21	105	34	420	31	10	3	29	12	11	46	13	29	12	2	68	85	77	34	2	89	103	7	1	17	27	38	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
SAA2_NM_030754	0	0	0	0	0	0	0	0	1	8	662	20	0	7	0	1	3	7	0	7	3	42	2	10	1	2	11	8	9	31	10	3	1	13	9	9	10	17	13	11	8	11	3	11	26	5	4	4	4	10	14	36	7	19	9	15	43	16	163	118	38	8	27	9	23	8	3	10	3	6	26	32	4	5	14	41	56	32	2	8	26	42	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SERPINA1_NM_001127701	0	0	0	0	0	0	0	24	72	8	92	22	1	4	14	17	52	22	17	22	4	20	2	3	53	8	15	11	21	57	36	48	66	5	58	22	15	26	13	6	26	26	124	13	9	26	248	36	11	109	91	15	108	65	33	86	23	93	122	36	55	277	17	18	109	18	10	16	13	29	15	7	6	49	164	16	3	0	188	25	13	0	8	25	8	5	29	103	159	17	6	7	8	11	0	9	31	14	26	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINA3_NM_001085	0	0	0	0	0	3	1	0	2	3	14	4	2	2	1	0	12	8	10	3	2	6	11	4	5	11	8	0	3	7	6	3	2	9	8	0	0	4	5	7	5	5	10	16	3	3	5	6	42	13	5	14	23	5	10	4	0	2	2	4	3	8	9	15	8	14	2	3	2	7	4	4	1	5	1	8	25	1	22	4	3	1	0	6	1	2	2	5	8	4	1	2	8	4	5	3	10	5	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SERPING1_NM_000062	0	0	0	0	0	19	1	1	0	0	0	0	2	6	1	0	3	1	0	6	7	0	7	5	0	0	0	0	0	0	0	1	0	0	4	4	0	1	3	3	2	0	8	2	0	0	3	3	0	3	9	2	2	3	2	6	4	3	4	2	3	3	17	10	1	2	3	2	2	2	5	0	6	6	8	2	0	5	5	0	0	1	3	3	1	2	3	4	4	11	2	0	0	2	1	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF_NM_001063	0	0	0	0	0	0	0	0	0	0	4	1	9	2	8	11	2	7	2	12	4	0	6	6	6	0	9	0	9	12	2	2	4	10	3	13	3	2	13	3	12	2	4	4	2	8	3	2	5	1	4	2	1	7	4	5	2	0	17	4	20	10	24	2	5	18	17	5	3	6	7	3	1	1	1	7	1	5	8	2	2	8	5	4	2	7	6	1	2	6	5	11	8	1	10	2	3	10	8	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTN_NM_000638	0	0	0	2	5	1	0	1	1	0	15	0	6	5	6	1	15	4	7	9	12	1	7	16	9	13	7	2	0	1	11	1	1	0	4	5	3	2	2	15	2	2	6	26	20	4	4	26	0	2	16	0	7	3	2	4	15	2	1	0	4	2	9	0	25	4	2	3	4	3	2	5	1	12	21	0	3	7	4	0	5	0	0	2	0	3	5	6	7	7	7	1	7	6	3	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
